,action_inds,rewards,actions,cumulative_revenue
16060,0,0.03011638856250001,LMP_buy,-114.2457571777804
16061,0,0.029390337562500007,LMP_buy,-114.2163668402179
16062,1,-0.0443323025625,LMP_sell,-114.2606991427804
16063,2,-0.007834007999999996,wait,-114.2685331507804
16064,4,0.09911809400000002,TOU_discharge,-114.1694150567804
16065,0,0.03011638856250001,LMP_buy,-114.13929866821789
16066,4,0.09911809400000002,TOU_discharge,-114.04018057421789
16067,2,-0.004203752999999997,wait,-114.04438432721788
16068,4,0.09621389000000001,TOU_discharge,-113.94817043721788
16069,4,0.09984414500000001,TOU_discharge,-113.84832629221788
16070,0,0.02866428656250001,LMP_buy,-113.81966200565537
16071,3,-0.108251651,TOU_buy,-113.92791365665538
16072,3,-0.108251651,TOU_buy,-114.03616530765538
16073,0,0.03374664356250001,LMP_buy,-114.00241866409289
16074,2,-0.003477701999999997,wait,-114.00589636609288
16075,2,-0.004203752999999997,wait,-114.01010011909288
16076,2,-0.004203752999999997,wait,-114.01430387209288
16077,2,-0.003477701999999997,wait,-114.01778157409288
16078,1,-0.0392499455625,LMP_sell,-114.05703151965538
16079,0,0.03374664356250001,LMP_buy,-114.02328487609289
16080,1,-0.0392499455625,LMP_sell,-114.06253482165539
16081,2,-0.004203752999999997,wait,-114.06673857465539
16082,1,-0.039975996562500005,LMP_sell,-114.10671457121789
16083,2,-0.004203752999999997,wait,-114.11091832421789
16084,0,0.033020592562500006,LMP_buy,-114.0778977316554
16085,3,-0.1074529949,TOU_buy,-114.1853507265554
16086,1,-0.0392499455625,LMP_sell,-114.2246006721179
16087,2,-0.004203752999999997,wait,-114.2288044251179
16088,0,0.032171641556250005,LMP_buy,-114.19663278356165
16089,1,-0.040824947568750006,LMP_sell,-114.2374577311304
16090,0,0.03366619689375001,LMP_buy,-114.20379153423666
16091,1,-0.038508386795625,LMP_sell,-114.24229992103228
16092,0,0.03366619689375001,LMP_buy,-114.20863372413854
16093,1,-0.0400776699,LMP_sell,-114.24871139403854
16094,0,0.032171641556250005,LMP_buy,-114.21653975248229
16095,1,-0.040824947568750006,LMP_sell,-114.25736470005104
16096,1,-0.040168629937500006,LMP_sell,-114.29753332998854
16097,1,-0.03940236225,LMP_sell,-114.33693569223854
16098,0,0.03443712133125001,LMP_buy,-114.30249857090729
16099,1,-0.03940236225,LMP_sell,-114.34190093315729
16100,3,-0.11578035306250001,TOU_buy,-114.4576812862198
16101,2,-0.004436603062499996,wait,-114.4621178892823
16102,2,-0.004436603062499996,wait,-114.4665544923448
16103,1,-0.03940236225,LMP_sell,-114.5059568545948
16104,1,-0.040168629937500006,LMP_sell,-114.5461254845323
16105,2,-0.002904067687499997,wait,-114.54902955221979
16106,2,-0.003670335374999997,wait,-114.5526998875948
16107,0,0.03129542381250001,LMP_buy,-114.5214044637823
16108,0,0.02976288843750001,LMP_buy,-114.4916415753448
16109,3,-0.118079156125,TOU_buy,-114.6097207314698
16110,0,0.03129542381250001,LMP_buy,-114.57842530765731
16111,2,-0.018995689124999996,wait,-114.59742099678232
16112,1,-0.050130109875,LMP_sell,-114.64755110665732
16113,4,0.10154327312500001,TOU_discharge,-114.54600783353231
16114,4,0.10077700543750001,TOU_discharge,-114.44523082809482
16115,1,-0.046298771437500004,LMP_sell,-114.49152959953233
16116,2,-0.009557596687499996,wait,-114.50108719621983
16117,3,-0.12187836003125,TOU_buy,-114.62296555625107
16118,4,0.09230127929375001,TOU_discharge,-114.53066427695732
16119,2,-0.009557596687499996,wait,-114.54022187364482
16120,0,0.02619342020625001,LMP_buy,-114.51402845343857
16121,0,0.025446142537500008,LMP_buy,-114.48858231090107
16122,0,0.025446142537500008,LMP_buy,-114.46313616836356
16123,4,0.09902677831250001,TOU_discharge,-114.36410939005106
16124,0,0.02694069787500001,LMP_buy,-114.33716869217605
16125,0,0.02619342020625001,LMP_buy,-114.3109752719698
16126,4,0.09827950064375,TOU_discharge,-114.21269577132604
16127,4,0.097532222975,TOU_discharge,-114.11516354835103
16128,0,0.02503403156250001,LMP_buy,-114.09012951678854
16129,4,0.09476178800000001,TOU_discharge,-113.99536772878854
16130,1,-0.043606251562500004,LMP_sell,-114.03897398035103
16131,0,0.029390337562500007,LMP_buy,-114.00958364278853
16132,0,0.03011638856250001,LMP_buy,-113.97946725422602
16133,0,0.029390337562500007,LMP_buy,-113.95007691666352
16134,4,0.09984414500000001,TOU_discharge,-113.85023277166351
16135,0,0.03156849056250001,LMP_buy,-113.81866428110101
16136,2,-0.004929803999999997,wait,-113.823594085101
16137,2,-0.004929803999999997,wait,-113.828523889101
16138,4,0.09839204300000001,TOU_discharge,-113.730131846101
16139,4,0.09911809400000002,TOU_discharge,-113.631013752101
16140,0,0.03011638856250001,LMP_buy,-113.6008973635385
16141,4,0.09984414500000001,TOU_discharge,-113.50105321853849
16142,0,0.03156849056250001,LMP_buy,-113.46948472797598
16143,0,0.03156849056250001,LMP_buy,-113.43791623741348
16144,4,0.09984414500000001,TOU_discharge,-113.33807209241347
16145,4,0.09911809400000002,TOU_discharge,-113.23895399841346
16146,0,0.03011638856250001,LMP_buy,-113.20883760985096
16147,4,0.09911809400000002,TOU_discharge,-113.10971951585095
16148,0,0.03156849056250001,LMP_buy,-113.07815102528845
16149,0,0.03156849056250001,LMP_buy,-113.04658253472594
16150,2,-0.004929803999999997,wait,-113.05151233872594
16151,4,0.09984414500000001,TOU_discharge,-112.95166819372594
16152,2,-0.006568486012499997,wait,-112.95823667973843
16153,2,-0.006568486012499997,wait,-112.96480516575093
16154,1,-0.04231950290625,LMP_sell,-113.00712466865718
16155,1,-0.0415722252375,LMP_sell,-113.04869689389469
16156,1,-0.0415722252375,LMP_sell,-113.09026911913219
16157,0,0.03142436388750001,LMP_buy,-113.05884475524469
16158,0,0.03067708621875001,LMP_buy,-113.02816766902595
16159,4,0.1020158889875,TOU_discharge,-112.92615178003845
16160,0,0.02992980855000001,LMP_buy,-112.89622197148846
16161,1,-0.0415722252375,LMP_sell,-112.93779419672596
16162,1,-0.0415722252375,LMP_sell,-112.97936642196346
16163,0,0.03291891922500001,LMP_buy,-112.94644750273847
16164,4,0.10052133365,TOU_discharge,-112.84592616908847
16165,0,0.03142436388750001,LMP_buy,-112.81450180520098
16166,0,0.03067708621875001,LMP_buy,-112.78382471898223
16167,3,-0.11216375033749999,TOU_buy,-112.89598846931973
16168,0,0.03366619689375001,LMP_buy,-112.86232227242598
16169,1,-0.0400776699,LMP_sell,-112.90239994232599
16170,0,0.03366619689375001,LMP_buy,-112.86873374543224
16171,1,-0.0400776699,LMP_sell,-112.90881141533224
16172,0,0.032171641556250005,LMP_buy,-112.87663977377599
16173,2,-0.005073930674999997,wait,-112.88171370445099
16174,2,-0.002832097668749997,wait,-112.88454580211973
16175,1,-0.0400776699,LMP_sell,-112.92462347201973
16176,0,0.03366619689375001,LMP_buy,-112.89095727512598
16177,1,-0.0400776699,LMP_sell,-112.93103494502598
16178,0,0.032171641556250005,LMP_buy,-112.89886330346974
16179,1,-0.040824947568750006,LMP_sell,-112.93968825103849
16180,0,0.032171641556250005,LMP_buy,-112.90751660948224
16181,1,-0.0400776699,LMP_sell,-112.94759427938224
16182,0,0.03366619689375001,LMP_buy,-112.9139280824885
16183,1,-0.0400776699,LMP_sell,-112.9540057523885
16184,1,-0.0415722252375,LMP_sell,-112.995577977626
16185,1,-0.0415722252375,LMP_sell,-113.0371502028635
16186,2,-0.003579375337499997,wait,-113.040729578201
16187,2,-0.002832097668749997,wait,-113.04356167586974
16188,2,-0.002832097668749997,wait,-113.04639377353848
16189,2,-0.002832097668749997,wait,-113.04922587120723
16190,2,-0.002832097668749997,wait,-113.05205796887597
16191,0,0.032171641556250005,LMP_buy,-113.01988632731972
16192,3,-0.115014085375,TOU_buy,-113.13490041269472
16193,1,-0.03940236225,LMP_sell,-113.17430277494472
16194,3,-0.11340492323125,TOU_buy,-113.28770769817596
16195,1,-0.040168629937500006,LMP_sell,-113.32787632811346
16196,3,-0.115014085375,TOU_buy,-113.44289041348846
16197,1,-0.040934897625,LMP_sell,-113.48382531111345
16198,3,-0.11654662075,TOU_buy,-113.60037193186345
16199,1,-0.040934897625,LMP_sell,-113.64130682948844
16200,1,-0.03940236225,LMP_sell,-113.68070919173844
16201,1,-0.040168629937500006,LMP_sell,-113.72087782167594
16202,2,-0.002904067687499997,wait,-113.72378188936344
16203,0,0.03129542381250001,LMP_buy,-113.69248646555094
16204,0,0.02976288843750001,LMP_buy,-113.66272357711344
16205,4,0.10384207618750001,TOU_discharge,-113.55888150092593
16206,0,0.02976288843750001,LMP_buy,-113.52911861248843
16207,1,-0.0478313068125,LMP_sell,-113.57694991930093
16208,2,-0.013631815312499995,wait,-113.59058173461342
16209,4,0.0992444700625,TOU_discharge,-113.49133726455092
16210,0,0.02593155000000001,LMP_buy,-113.46540571455093
16211,1,-0.046298771437500004,LMP_sell,-113.51170448598843
16212,2,-0.008810319018749997,wait,-113.52051480500718
16213,2,-0.008810319018749997,wait,-113.52932512402593
16214,2,-0.008810319018749997,wait,-113.53813544304468
16215,2,-0.009557596687499996,wait,-113.54769303973218
16216,0,0.02619342020625001,LMP_buy,-113.52149961952593
16217,0,0.025446142537500008,LMP_buy,-113.49605347698842
16218,4,0.09977405598125,TOU_discharge,-113.39627942100716
16219,3,-0.11739469401875,TOU_buy,-113.51367411502592
16220,0,0.02694069787500001,LMP_buy,-113.48673341715092
16221,2,-0.008810319018749997,wait,-113.49554373616967
16222,0,0.02619342020625001,LMP_buy,-113.46935031596341
16223,4,0.09678494530625,TOU_discharge,-113.37256537065716
16224,4,0.09330968600000002,TOU_discharge,-113.27925568465716
16225,4,0.09548783900000002,TOU_discharge,-113.18376784565716
16226,4,0.09621389000000001,TOU_discharge,-113.08755395565716
16227,0,0.030842439562500008,LMP_buy,-113.05671151609465
16228,0,0.03156849056250001,LMP_buy,-113.02514302553215
16229,0,0.03011638856250001,LMP_buy,-112.99502663696964
16230,4,0.09911809400000002,TOU_discharge,-112.89590854296964
16231,0,0.03011638856250001,LMP_buy,-112.86579215440713
16232,4,0.09984414500000001,TOU_discharge,-112.76594800940713
16233,0,0.03156849056250001,LMP_buy,-112.73437951884462
16234,4,0.09984414500000001,TOU_discharge,-112.63453537384461
16235,0,0.03156849056250001,LMP_buy,-112.60296688328211
16236,4,0.09911809400000002,TOU_discharge,-112.5038487892821
16237,0,0.03011638856250001,LMP_buy,-112.4737324007196
16238,4,0.09911809400000002,TOU_discharge,-112.3746143067196
16239,0,0.03156849056250001,LMP_buy,-112.34304581615709
16240,0,0.03156849056250001,LMP_buy,-112.31147732559458
16241,2,-0.004929803999999997,wait,-112.31640712959458
16242,1,-0.042880200562500005,LMP_sell,-112.35928733015707
16243,0,0.029390337562500007,LMP_buy,-112.32989699259457
16244,1,-0.042880200562500005,LMP_sell,-112.37277719315706
16245,0,0.03156849056250001,LMP_buy,-112.34120870259456
16246,4,0.09984414500000001,TOU_discharge,-112.24136455759455
16247,4,0.09984414500000001,TOU_discharge,-112.14152041259455
16248,4,0.1020158889875,TOU_discharge,-112.03950452360705
16249,0,0.02992980855000001,LMP_buy,-112.00957471505706
16250,4,0.1020158889875,TOU_discharge,-111.90755882606956
16251,1,-0.0415722252375,LMP_sell,-111.94913105130706
16252,0,0.03142436388750001,LMP_buy,-111.91770668741957
16253,1,-0.0415722252375,LMP_sell,-111.95927891265707
16254,0,0.03067708621875001,LMP_buy,-111.92860182643832
16255,0,0.02992980855000001,LMP_buy,-111.89867201788833
16256,4,0.1020158889875,TOU_discharge,-111.79665612890084
16257,1,-0.0415722252375,LMP_sell,-111.83822835413834
16258,0,0.03142436388750001,LMP_buy,-111.80680399025084
16259,1,-0.0415722252375,LMP_sell,-111.84837621548834
16260,2,-0.008810319018749997,wait,-111.8571865345071
16261,3,-0.11291102800625,TOU_buy,-111.97009756251335
16262,4,0.10052133365,TOU_discharge,-111.86957622886335
16263,0,0.03142436388750001,LMP_buy,-111.83815186497586
16264,1,-0.0415722252375,LMP_sell,-111.87972409021336
16265,0,0.03366619689375001,LMP_buy,-111.84605789331961
16266,2,-0.003579375337499997,wait,-111.8496372686571
16267,0,0.032171641556250005,LMP_buy,-111.81746562710086
16268,0,0.032171641556250005,LMP_buy,-111.78529398554461
16269,0,0.032171641556250005,LMP_buy,-111.75312234398837
16270,2,-0.002832097668749997,wait,-111.75595444165711
16271,1,-0.0400776699,LMP_sell,-111.79603211155711
16272,0,0.03366619689375001,LMP_buy,-111.76236591466336
16273,1,-0.040824947568750006,LMP_sell,-111.80319086223211
16274,0,0.032171641556250005,LMP_buy,-111.77101922067587
16275,2,-0.005073930674999997,wait,-111.77609315135086
16276,1,-0.0400776699,LMP_sell,-111.81617082125086
16277,0,0.03366619689375001,LMP_buy,-111.78250462435712
16278,1,-0.0400776699,LMP_sell,-111.82258229425712
16279,0,0.032171641556250005,LMP_buy,-111.79041065270087
16280,2,-0.005073930674999997,wait,-111.79548458337587
16281,1,-0.040824947568750006,LMP_sell,-111.83630953094462
16282,0,0.03291891922500001,LMP_buy,-111.80339061171962
16283,1,-0.0400776699,LMP_sell,-111.84346828161962
16284,0,0.03366619689375001,LMP_buy,-111.80980208472587
16285,1,-0.0400776699,LMP_sell,-111.84987975462587
16286,1,-0.0415722252375,LMP_sell,-111.89145197986338
16287,0,0.032171641556250005,LMP_buy,-111.85928033830713
16288,1,-0.040168629937500006,LMP_sell,-111.89944896824463
16289,1,-0.03940236225,LMP_sell,-111.93885133049463
16290,3,-0.1142478176875,TOU_buy,-112.05309914818213
16291,3,-0.115014085375,TOU_buy,-112.16811323355712
16292,1,-0.040934897625,LMP_sell,-112.20904813118212
16293,3,-0.11654662075,TOU_buy,-112.32559475193212
16294,1,-0.040168629937500006,LMP_sell,-112.36576338186961
16295,1,-0.03940236225,LMP_sell,-112.40516574411961
16296,3,-0.1142478176875,TOU_buy,-112.51941356180711
16297,3,-0.11654662075,TOU_buy,-112.63596018255711
16298,1,-0.0493638421875,LMP_sell,-112.68532402474462
16299,3,-0.1280406360625,TOU_buy,-112.81336466080711
16300,4,0.10001073775000001,TOU_discharge,-112.71335392305711
16301,4,0.10384207618750001,TOU_discharge,-112.60951184686961
16302,0,0.02976288843750001,LMP_buy,-112.5797489584321
16303,4,0.10230954081250002,TOU_discharge,-112.4774394176196
16304,2,-0.015164350687499996,wait,-112.4926037683071
16305,0,0.02516528231250001,LMP_buy,-112.4674384859946
16306,2,-0.009800476874999997,wait,-112.4772389628696
16307,2,-0.014398082999999996,wait,-112.49163704586961
16308,1,-0.049045001925,LMP_sell,-112.5406820477946
16309,4,0.09678494530625,TOU_discharge,-112.44389710248835
16310,3,-0.12038380469375,TOU_buy,-112.5642809071821
16311,4,0.091554001625,TOU_discharge,-112.4727269055571
16312,2,-0.011052152024999996,wait,-112.4837790575821
16313,2,-0.009557596687499996,wait,-112.4933366542696
16314,2,-0.008810319018749997,wait,-112.50214697328835
16315,3,-0.1151528610125,TOU_buy,-112.61729983430085
16316,0,0.02992980855000001,LMP_buy,-112.58737002575086
16317,3,-0.11888924935624999,TOU_buy,-112.7062592751071
16318,0,0.02619342020625001,LMP_buy,-112.68006585490085
16319,4,0.09678494530625,TOU_discharge,-112.58328090959459
16320,4,0.09693994100000002,TOU_discharge,-112.48634096859459
16321,4,0.09693994100000002,TOU_discharge,-112.38940102759459
16322,1,-0.0450583535625,LMP_sell,-112.43445938115708
16323,0,0.02866428656250001,LMP_buy,-112.40579509459458
16324,0,0.029390337562500007,LMP_buy,-112.37640475703208
16325,1,-0.043606251562500004,LMP_sell,-112.42001100859457
16326,0,0.03011638856250001,LMP_buy,-112.38989462003207
16327,0,0.03011638856250001,LMP_buy,-112.35977823146956
16328,4,0.09984414500000001,TOU_discharge,-112.25993408646956
16329,1,-0.0421541495625,LMP_sell,-112.30208823603206
16330,0,0.029390337562500007,LMP_buy,-112.27269789846956
16331,3,-0.11333400800000001,TOU_buy,-112.38603190646955
16332,4,0.09911809400000002,TOU_discharge,-112.28691381246955
16333,1,-0.043606251562500004,LMP_sell,-112.33052006403204
16334,0,0.026486133562500007,LMP_buy,-112.30403393046954
16335,1,-0.0421541495625,LMP_sell,-112.34618808003205
16336,0,0.029390337562500007,LMP_buy,-112.31679774246955
16337,1,-0.043606251562500004,LMP_sell,-112.36040399403204
16338,0,0.029390337562500007,LMP_buy,-112.33101365646954
16339,1,-0.0421541495625,LMP_sell,-112.37316780603204
