local_15min,load_power,grid_power,battery_power,battery_energy,tariff_rate,cumulative_cost
2014-07-08 09:45:00,0.24499999999999994,1.63104745004513e-10,0.24499999983689633,4.4922865456759995,0.076155,0.7961107153709127
2014-07-08 10:00:00,0.18600000000000003,1.71091928117862e-10,0.1859999998289096,4.431036545716776,0.076155,0.7961107153839422
2014-07-08 10:15:00,0.15200000000000002,1.7971564346638007e-10,0.1519999998202862,4.38453654575955,0.076155,0.7961107153976285
2014-07-08 10:30:00,0.1489999999999999,1.8032368628139878e-10,0.14899999981967813,4.346536545804479,0.076155,0.796110715411361
2014-07-08 10:45:00,0.15600000000000014,1.7720533809252117e-10,0.15599999982279666,4.30928654584956,0.076155,0.7961107154248561
2014-07-08 11:00:00,0.25,1.5961584892435905e-10,0.2499999998403854,4.270286545893861,0.076155,0.7961107154370116
2014-07-08 11:15:00,0.22,1.6253108331640454e-10,0.21999999983747037,4.207786545933766,0.076155,0.7961107154493892
2014-07-08 11:30:00,0.23600000000000002,1.6001501130523945e-10,0.2359999998399864,4.152786545974399,0.076155,0.7961107154615751
2014-07-08 11:45:00,0.15800000000000014,1.7443902020992083e-10,0.15799999982556306,4.093786546014403,0.076155,0.7961107154748595
2014-07-08 12:00:00,0.1549999999999998,1.749944709429871e-10,0.1549999998250073,4.054286546058013,0.076155,0.7961107154881861
2014-07-08 12:15:00,0.17300000000000004,1.6909216229821392e-10,0.17299999983090975,4.015536546101762,0.076155,0.7961107155010634
2014-07-08 12:30:00,0.2160000000000002,1.604908038986699e-10,0.21599999983951093,3.9722865461440353,0.076155,0.7961107155132856
2014-07-08 12:45:00,0.2609999999999999,1.5498175162572698e-10,0.2609999998450194,3.918286546184158,0.076155,0.7961107155250883
2014-07-08 13:00:00,0.21900000000000008,1.5911965654253582e-10,0.218999999840882,3.8530365462229037,0.076155,0.796110715537206
2014-07-08 13:15:00,0.1649999999999998,1.6940204912520158e-10,0.16499999983059976,3.798286546262684,0.076155,0.7961107155501068
2014-07-08 13:30:00,0.17800000000000016,1.655215069105656e-10,0.1779999998344806,3.7570365463050353,0.076155,0.7961107155627121
